ENV,GEN,REP,DF,DM,PH,PPP,SPP,PL,HSW,GY
E4,E14,3,35,59,33.4,17.2,12.8,6.45,1.98,4.36
E4,E15,1,45,73,32.5,8.8,12.8,6.32,2.8,3.15
E4,E15,2,45,70,31.5,8.6,10,6.76,3.5,3.01
E4,E15,3,47,69,34.7,9,11.4,6.42,3.3,3.39
E5,E1,1,42,66,37.8,10,11,6.36,4.33,5.86
E5,E1,2,48,68,34.4,9.2,9.6,7.72,4.52,4.63
E5,E1,3,47,69,38.6,11.2,9,7.38,4.76,5.71
E5,E10,1,42,69,40.5,9.6,11,6.1,2.97,3.85
E5,E10,2,49,67,35.5,11.9,12.4,4.58,2.86,4.9
E5,E10,3,44,70,42,10.8,10.6,6.74,3.17,4.32
E5,E11,1,44,70,45,10.6,10,6.62,5.37,7
E5,E11,2,45,69,43.4,8.8,8,7.1,5.14,4.2
E5,E11,3,47,71,39.6,9.6,9.4,6.9,5.6,6.01
E5,E12,1,47,67,35.4,6.2,13,6.97,4.74,4.7
E5,E12,2,51,73,36.2,7,12,6.84,5.46,5.32
E5,E12,3,47,72,32.25,6.6,10.4,6.26,4.02,3.28
E5,E13,1,44,71,33.2,19.4,10.6,6.84,4.13,10.43
E5,E13,2,43,69,33.6,21.1,9.4,6.52,3.38,11
E5,E13,3,45,69,37.8,20.8,12.4,7.66,4.87,13
E5,E14,1,39,69,30.6,18.2,10.6,6.68,2.64,6.25
E5,E14,2,42,73,36.4,19.8,9.8,7.32,2.75,6.19
E5,E14,3,41,73,34.6,20.4,8,6.84,2.56,4.97
E5,E15,1,45,72,27.2,19.2,10.8,5.8,2.76,7.03
E5,E15,2,43,67,30.2,21.3,12,6.5,2.5,7.41
E5,E15,3,41,69,23.4,20.4,11,6.04,2.9,7.74
E6,E1,1,44,72,43.2,15.9,8,6.4,4.43,6.08
E6,E1,2,46,69,44.2,15.9,8.65,8.32,4.11,5.96
E6,E1,3,42,71,41.2,14.6,9.2,6.16,4.42,6.19
E6,E10,1,49,74,43.2,13.9,6.6,4.4,2.57,2.8
E6,E10,2,44,70,41,16,7.25,5.94,2.15,2.8
E6,E10,3,45,72,34,14.8,9.2,5.84,2.58,3.76
E6,E11,1,44,66,41.6,17.3,7.2,6.4,4.61,6.18
E6,E11,2,39,71,45,18.8,7.85,8,4.41,6.82
E6,E11,3,41,68,37.6,16.4,10.6,7.22,4.64,7.32
E6,E12,1,38,66,42.2,15.1,8.8,6,4.71,6.7
E6,E12,2,44,64,45.6,19,9.45,9.82,4.47,8.34
E6,E12,3,42,68,31.8,16,10.2,7.22,4.56,7.69
E6,E13,1,39,70,35.65,19.3,7.6,5.3,2.69,4.39
E6,E13,2,41,69,35.4,16.4,8.25,6.52,2.57,3.79
E6,E13,3,41,72,32,16.6,12,5.24,2.96,6.15
E6,E14,1,39,69,25.4,20.1,9,4.7,2.13,4.29
E6,E14,2,38,66,30.8,18,9.65,6.2,2.13,4.01
E6,E14,3,40,64,26.4,17,11.8,7.06,2.02,4.3
E6,E15,1,38,70,27.8,17.5,7.2,6.6,3.1,5.35
E6,E15,2,40,62,26.6,19.8,7.85,7.28,2.9,4.82
E6,E15,3,39,72,24.2,18,10.4,5.3,3.27,6.37
E7,E1,1,37,62,54.2,9,8.1,6.91,4.09,3.9
E7,E1,2,37,59,61,10.71,7.2,8.12,4.33,3.6
E7,E1,3,40.7,63,51.5,10.03,9.18,8.78,4.6,4.75
E7,E10,1,43,73,63.2,9,8.64,6.28,2.32,2.53
E7,E10,2,36,74,68.6,11.05,10.26,6.84,2.31,2.82
E7,E10,3,43.45,71,69.8,9.52,9.18,6.91,2.67,2.61
E7,E11,1,43,67,57.6,10,9.36,8.33,4.26,3.77
E7,E11,2,40,73,54.6,6.8,7.2,8.53,4.64,2.45
E7,E11,3,42.35,70.5,56.3,9,10.44,8.84,4.83,4.71
E7,E12,1,44,67,58.4,8,11.52,8.78,4.35,5.28
E7,E12,2,43,69,53.6,9.86,8.1,8.65,4.7,4.05
E7,E12,3,42.35,72,58.95,9.01,10.08,10.02,4.75,4.83
E7,E13,1,36,65,65,16,11.34,6.79,2.43,5.92
E7,E13,2,37,67,64.8,17.85,9,6.23,2.74,4.75
E7,E13,3,40.15,69,67,16.83,11.7,7.48,2.34,6.76
E7,E14,1,41,64,51.8,15.98,10.44,6.21,2.2,3.93
E7,E14,2,36,66,50.6,14.96,10.26,6.25,2.39,3.79
E7,E14,3,42.35,65,48.4,14.62,11.52,6.77,2.08,3.92
E7,E15,1,41,67,55.4,9,11.52,5.69,3.45,2.29
E7,E15,2,34,68,56.2,7.31,9,6.42,3.61,2.37
E7,E15,3,41.25,70.5,60.4,7.65,10.26,6.74,3.47,2.72
